"","product_code","station_number","year","month","mean_max","quality"
"1","IDCJAC0002","040913",1999,"December",27.2,"Y"
"2","IDCJAC0002","040913",2000,"January",29.3,"Y"
"3","IDCJAC0002","040913",2000,"February",28.4,"Y"
"4","IDCJAC0002","040913",2000,"March",28.8,"Y"
"5","IDCJAC0002","040913",2000,"April",26.5,"Y"
"6","IDCJAC0002","040913",2000,"May",23.7,"Y"
"7","IDCJAC0002","040913",2000,"June",21,"Y"
"8","IDCJAC0002","040913",2000,"July",21.8,"Y"
"9","IDCJAC0002","040913",2000,"August",23.5,"Y"
"10","IDCJAC0002","040913",2000,"September",27,"Y"
"11","IDCJAC0002","040913",2000,"October",26.5,"Y"
"12","IDCJAC0002","040913",2000,"November",26.6,"Y"
"13","IDCJAC0002","040913",2000,"December",29.3,"Y"
"14","IDCJAC0002","040913",2001,"January",30.4,"Y"
"15","IDCJAC0002","040913",2001,"February",29.1,"Y"
"16","IDCJAC0002","040913",2001,"March",29.8,"Y"
"17","IDCJAC0002","040913",2001,"April",26.9,"Y"
"18","IDCJAC0002","040913",2001,"May",24.5,"Y"
"19","IDCJAC0002","040913",2001,"June",23.2,"Y"
"20","IDCJAC0002","040913",2001,"July",22.4,"Y"
"21","IDCJAC0002","040913",2001,"August",23.1,"Y"
"22","IDCJAC0002","040913",2001,"September",25.1,"Y"
"23","IDCJAC0002","040913",2001,"October",27.8,"Y"
"24","IDCJAC0002","040913",2001,"November",27.5,"Y"
"25","IDCJAC0002","040913",2001,"December",30.6,"Y"
"26","IDCJAC0002","040913",2002,"January",31.4,"Y"
"27","IDCJAC0002","040913",2002,"February",31.3,"Y"
"28","IDCJAC0002","040913",2002,"March",29.9,"Y"
"29","IDCJAC0002","040913",2002,"April",27.8,"Y"
"30","IDCJAC0002","040913",2002,"May",24.1,"Y"
"31","IDCJAC0002","040913",2002,"June",22.4,"Y"
"32","IDCJAC0002","040913",2002,"July",22.5,"Y"
"33","IDCJAC0002","040913",2002,"August",22.5,"Y"
"34","IDCJAC0002","040913",2002,"September",26.3,"Y"
"35","IDCJAC0002","040913",2002,"October",27.6,"Y"
"36","IDCJAC0002","040913",2002,"November",28.3,"Y"
"37","IDCJAC0002","040913",2002,"December",29.7,"Y"
"38","IDCJAC0002","040913",2003,"January",30.4,"Y"
"39","IDCJAC0002","040913",2003,"February",28.8,"Y"
"40","IDCJAC0002","040913",2003,"March",27.9,"Y"
"41","IDCJAC0002","040913",2003,"April",26.2,"Y"
"42","IDCJAC0002","040913",2003,"May",24.1,"Y"
"43","IDCJAC0002","040913",2003,"June",22.4,"Y"
"44","IDCJAC0002","040913",2003,"July",21.2,"Y"
"45","IDCJAC0002","040913",2003,"August",22.6,"Y"
"46","IDCJAC0002","040913",2003,"September",27.6,"Y"
"47","IDCJAC0002","040913",2003,"October",26.5,"Y"
"48","IDCJAC0002","040913",2003,"November",27.7,"Y"
"49","IDCJAC0002","040913",2003,"December",29.1,"Y"
"50","IDCJAC0002","040913",2004,"January",31.5,"Y"
"51","IDCJAC0002","040913",2004,"February",32.2,"Y"
"52","IDCJAC0002","040913",2004,"March",29,"Y"
"53","IDCJAC0002","040913",2004,"April",27.4,"Y"
"54","IDCJAC0002","040913",2004,"May",24.7,"Y"
"55","IDCJAC0002","040913",2004,"June",23.3,"Y"
"56","IDCJAC0002","040913",2004,"July",23,"Y"
"57","IDCJAC0002","040913",2004,"August",23.6,"Y"
"58","IDCJAC0002","040913",2004,"September",25.2,"Y"
"59","IDCJAC0002","040913",2004,"October",28.4,"Y"
"60","IDCJAC0002","040913",2004,"November",28.2,"Y"
"61","IDCJAC0002","040913",2004,"December",29.3,"Y"
"62","IDCJAC0002","040913",2005,"January",30.2,"Y"
"63","IDCJAC0002","040913",2005,"February",30.8,"Y"
"64","IDCJAC0002","040913",2005,"March",29.3,"Y"
"65","IDCJAC0002","040913",2005,"April",27.7,"Y"
"66","IDCJAC0002","040913",2005,"May",24.8,"Y"
"67","IDCJAC0002","040913",2005,"June",21.9,"Y"
"68","IDCJAC0002","040913",2005,"July",22.4,"Y"
"69","IDCJAC0002","040913",2005,"August",23,"Y"
"70","IDCJAC0002","040913",2005,"September",25.5,"Y"
"71","IDCJAC0002","040913",2005,"October",28.3,"Y"
"72","IDCJAC0002","040913",2005,"November",28.1,"Y"
"73","IDCJAC0002","040913",2005,"December",32.1,"Y"
"74","IDCJAC0002","040913",2006,"January",30.6,"Y"
"75","IDCJAC0002","040913",2006,"February",30.8,"Y"
"76","IDCJAC0002","040913",2006,"March",28.3,"Y"
"77","IDCJAC0002","040913",2006,"April",27.8,"Y"
"78","IDCJAC0002","040913",2006,"May",25,"Y"
"79","IDCJAC0002","040913",2006,"June",21.8,"Y"
"80","IDCJAC0002","040913",2006,"July",22.5,"Y"
"81","IDCJAC0002","040913",2006,"August",24,"Y"
"82","IDCJAC0002","040913",2006,"September",24.2,"Y"
"83","IDCJAC0002","040913",2006,"October",25.9,"Y"
"84","IDCJAC0002","040913",2006,"November",27.6,"Y"
"85","IDCJAC0002","040913",2006,"December",27.4,"Y"
"86","IDCJAC0002","040913",2007,"January",29.8,"Y"
"87","IDCJAC0002","040913",2007,"February",29.4,"Y"
"88","IDCJAC0002","040913",2007,"March",30.8,"Y"
"89","IDCJAC0002","040913",2007,"April",28,"Y"
"90","IDCJAC0002","040913",2007,"May",26.5,"Y"
"91","IDCJAC0002","040913",2007,"June",20.4,"Y"
"92","IDCJAC0002","040913",2007,"July",21.3,"Y"
"93","IDCJAC0002","040913",2007,"August",23.1,"Y"
"94","IDCJAC0002","040913",2007,"September",25.5,"Y"
"95","IDCJAC0002","040913",2007,"October",27.9,"Y"
"96","IDCJAC0002","040913",2007,"November",26.7,"Y"
"97","IDCJAC0002","040913",2007,"December",28.5,"Y"
"98","IDCJAC0002","040913",2008,"January",28.9,"Y"
"99","IDCJAC0002","040913",2008,"February",29,"Y"
"100","IDCJAC0002","040913",2008,"March",27.3,"Y"
"101","IDCJAC0002","040913",2008,"April",26.1,"Y"
"102","IDCJAC0002","040913",2008,"May",24.3,"Y"
"103","IDCJAC0002","040913",2008,"June",22.9,"Y"
"104","IDCJAC0002","040913",2008,"July",20.6,"Y"
"105","IDCJAC0002","040913",2008,"August",21.6,"Y"
