"","product_code","station_number","year","month","mean_max","quality"
"1","IDCJAC0004","040913",1999,"December",18.3,"Y"
"2","IDCJAC0004","040913",2000,"January",20,"Y"
"3","IDCJAC0004","040913",2000,"February",19.8,"Y"
"4","IDCJAC0004","040913",2000,"March",20.1,"Y"
"5","IDCJAC0004","040913",2000,"April",17.7,"Y"
"6","IDCJAC0004","040913",2000,"May",14.6,"Y"
"7","IDCJAC0004","040913",2000,"June",10.7,"Y"
"8","IDCJAC0004","040913",2000,"July",9.2,"Y"
"9","IDCJAC0004","040913",2000,"August",9.8,"Y"
"10","IDCJAC0004","040913",2000,"September",13.4,"Y"
"11","IDCJAC0004","040913",2000,"October",16.6,"Y"
"12","IDCJAC0004","040913",2000,"November",17.7,"Y"
"13","IDCJAC0004","040913",2000,"December",20.4,"Y"
"14","IDCJAC0004","040913",2001,"January",21.1,"Y"
"15","IDCJAC0004","040913",2001,"February",20.3,"Y"
"16","IDCJAC0004","040913",2001,"March",20.8,"Y"
"17","IDCJAC0004","040913",2001,"April",17.3,"Y"
"18","IDCJAC0004","040913",2001,"May",12.9,"Y"
"19","IDCJAC0004","040913",2001,"June",11.8,"Y"
"20","IDCJAC0004","040913",2001,"July",9.9,"Y"
"21","IDCJAC0004","040913",2001,"August",9.5,"Y"
"22","IDCJAC0004","040913",2001,"September",12.9,"Y"
"23","IDCJAC0004","040913",2001,"October",15.9,"Y"
"24","IDCJAC0004","040913",2001,"November",18,"Y"
"25","IDCJAC0004","040913",2001,"December",21,"Y"
"26","IDCJAC0004","040913",2002,"January",21.6,"Y"
"27","IDCJAC0004","040913",2002,"February",21.8,"Y"
"28","IDCJAC0004","040913",2002,"March",19.7,"Y"
"29","IDCJAC0004","040913",2002,"April",17.3,"Y"
"30","IDCJAC0004","040913",2002,"May",13.4,"Y"
"31","IDCJAC0004","040913",2002,"June",11.2,"Y"
"32","IDCJAC0004","040913",2002,"July",8,"Y"
"33","IDCJAC0004","040913",2002,"August",11.3,"Y"
"34","IDCJAC0004","040913",2002,"September",14.2,"Y"
"35","IDCJAC0004","040913",2002,"October",15.9,"Y"
"36","IDCJAC0004","040913",2002,"November",18.6,"Y"
"37","IDCJAC0004","040913",2002,"December",20.1,"Y"
"38","IDCJAC0004","040913",2003,"January",20.2,"Y"
"39","IDCJAC0004","040913",2003,"February",21.2,"Y"
"40","IDCJAC0004","040913",2003,"March",19.2,"Y"
"41","IDCJAC0004","040913",2003,"April",17,"Y"
"42","IDCJAC0004","040913",2003,"May",13.6,"Y"
"43","IDCJAC0004","040913",2003,"June",11.8,"Y"
"44","IDCJAC0004","040913",2003,"July",9.9,"Y"
"45","IDCJAC0004","040913",2003,"August",10.8,"Y"
"46","IDCJAC0004","040913",2003,"September",13.5,"Y"
"47","IDCJAC0004","040913",2003,"October",15.7,"Y"
"48","IDCJAC0004","040913",2003,"November",17.2,"Y"
"49","IDCJAC0004","040913",2003,"December",20.6,"Y"
"50","IDCJAC0004","040913",2004,"January",22.4,"Y"
"51","IDCJAC0004","040913",2004,"February",22.3,"Y"
"52","IDCJAC0004","040913",2004,"March",20.3,"Y"
"53","IDCJAC0004","040913",2004,"April",17.8,"Y"
"54","IDCJAC0004","040913",2004,"May",12.2,"Y"
"55","IDCJAC0004","040913",2004,"June",10.7,"Y"
