"","product_code","station_number","year","month","mean_max","quality"
"1","IDCJAC0004","040214",1887,"January",21.2,"Y"
"2","IDCJAC0004","040214",1887,"February",20.2,"Y"
"3","IDCJAC0004","040214",1887,"March",20.6,"Y"
"4","IDCJAC0004","040214",1887,"April",17.1,"Y"
"5","IDCJAC0004","040214",1887,"May",11.6,"Y"
"6","IDCJAC0004","040214",1887,"June",8.9,"Y"
"7","IDCJAC0004","040214",1887,"July",9.2,"Y"
"8","IDCJAC0004","040214",1887,"August",10.6,"Y"
"9","IDCJAC0004","040214",1887,"September",12,"Y"
"10","IDCJAC0004","040214",1887,"October",14.7,"Y"
"11","IDCJAC0004","040214",1887,"November",16.1,"Y"
"12","IDCJAC0004","040214",1887,"December",18,"Y"
"13","IDCJAC0004","040214",1888,"January",19.1,"Y"
"14","IDCJAC0004","040214",1888,"February",20.3,"Y"
"15","IDCJAC0004","040214",1888,"March",17.4,"Y"
"16","IDCJAC0004","040214",1888,"April",16,"Y"
"17","IDCJAC0004","040214",1888,"May",12.3,"Y"
"18","IDCJAC0004","040214",1888,"June",10,"Y"
"19","IDCJAC0004","040214",1888,"July",8.7,"Y"
"20","IDCJAC0004","040214",1888,"August",9.1,"Y"
"21","IDCJAC0004","040214",1888,"September",12.7,"Y"
"22","IDCJAC0004","040214",1888,"October",15.7,"Y"
"23","IDCJAC0004","040214",1888,"November",17.6,"Y"
"24","IDCJAC0004","040214",1888,"December",19.8,"Y"
"25","IDCJAC0004","040214",1889,"January",20,"Y"
"26","IDCJAC0004","040214",1889,"February",20.4,"Y"
"27","IDCJAC0004","040214",1889,"March",19.7,"Y"
"28","IDCJAC0004","040214",1889,"April",17.8,"Y"
"29","IDCJAC0004","040214",1889,"May",15.5,"Y"
"30","IDCJAC0004","040214",1889,"June",10.5,"Y"
"31","IDCJAC0004","040214",1889,"July",10.9,"Y"
"32","IDCJAC0004","040214",1889,"August",11,"Y"
"33","IDCJAC0004","040214",1889,"September",13,"Y"
"34","IDCJAC0004","040214",1889,"October",15.3,"Y"
"35","IDCJAC0004","040214",1889,"November",18.1,"Y"
"36","IDCJAC0004","040214",1889,"December",20.4,"Y"
"37","IDCJAC0004","040214",1890,"January",19.8,"Y"
"38","IDCJAC0004","040214",1890,"February",20.1,"Y"
"39","IDCJAC0004","040214",1890,"March",19.5,"Y"
"40","IDCJAC0004","040214",1890,"April",16.1,"Y"
"41","IDCJAC0004","040214",1890,"May",13.4,"Y"
"42","IDCJAC0004","040214",1890,"June",11.9,"Y"
"43","IDCJAC0004","040214",1890,"July",7.9,"Y"
"44","IDCJAC0004","040214",1890,"August",8.5,"Y"
