"","product_code","station_number","year","month","mean_max","quality"
"93","IDCJAC0002","040214",1894,"September",22.8,"Y"
"94","IDCJAC0002","040214",1894,"October",25.6,"Y"
"95","IDCJAC0002","040214",1894,"November",28.5,"Y"
"96","IDCJAC0002","040214",1894,"December",27.9,"Y"
"97","IDCJAC0002","040214",1895,"January",28.4,"Y"
"98","IDCJAC0002","040214",1895,"February",28.8,"Y"
"99","IDCJAC0002","040214",1895,"March",27.8,"Y"
"100","IDCJAC0002","040214",1895,"April",25.7,"Y"
"101","IDCJAC0002","040214",1895,"May",23.8,"Y"
"102","IDCJAC0002","040214",1895,"June",21.8,"Y"
"103","IDCJAC0002","040214",1895,"July",19.2,"Y"
"104","IDCJAC0002","040214",1895,"August",23.9,"Y"
"105","IDCJAC0002","040214",1895,"September",25,"Y"
"106","IDCJAC0002","040214",1895,"October",27.4,"Y"
"107","IDCJAC0002","040214",1895,"November",27.6,"Y"
"108","IDCJAC0002","040214",1895,"December",29.5,"Y"
"109","IDCJAC0002","040214",1896,"January",30.9,"Y"
"110","IDCJAC0002","040214",1896,"February",27.9,"Y"
"111","IDCJAC0002","040214",1896,"March",28.4,"Y"
"112","IDCJAC0002","040214",1896,"April",27.1,"Y"
"113","IDCJAC0002","040214",1896,"May",23.3,"Y"
"114","IDCJAC0002","040214",1896,"June",20.5,"Y"
"115","IDCJAC0002","040214",1896,"July",19.2,"Y"
"116","IDCJAC0002","040214",1896,"August",21.2,"Y"
"117","IDCJAC0002","040214",1896,"September",24.5,"Y"
"118","IDCJAC0002","040214",1896,"October",27.6,"Y"
"119","IDCJAC0002","040214",1896,"November",25.5,"Y"
"120","IDCJAC0002","040214",1896,"December",28.1,"Y"
"121","IDCJAC0002","040214",1897,"January",29.5,"Y"
"122","IDCJAC0002","040214",1897,"February",30.1,"Y"
"123","IDCJAC0002","040214",1897,"March",28.9,"Y"
"124","IDCJAC0002","040214",1897,"April",27.9,"Y"
"125","IDCJAC0002","040214",1897,"May",24.5,"Y"
"126","IDCJAC0002","040214",1897,"June",21.7,"Y"
"127","IDCJAC0002","040214",1897,"July",21.9,"Y"
"128","IDCJAC0002","040214",1897,"August",22.2,"Y"
"129","IDCJAC0002","040214",1897,"September",24.3,"Y"
"130","IDCJAC0002","040214",1897,"October",26.7,"Y"
"131","IDCJAC0002","040214",1897,"November",28.7,"Y"
"132","IDCJAC0002","040214",1897,"December",27.9,"Y"
"133","IDCJAC0002","040214",1898,"January",27.7,"Y"
"134","IDCJAC0002","040214",1898,"February",27.8,"Y"
"135","IDCJAC0002","040214",1898,"March",26.9,"Y"
"136","IDCJAC0002","040214",1898,"April",26.5,"Y"
"137","IDCJAC0002","040214",1898,"May",21.6,"Y"
"138","IDCJAC0002","040214",1898,"June",20.5,"Y"
"139","IDCJAC0002","040214",1898,"July",21.1,"Y"
"140","IDCJAC0002","040214",1898,"August",20.9,"Y"
"141","IDCJAC0002","040214",1898,"September",25,"Y"
"142","IDCJAC0002","040214",1898,"October",27.5,"Y"
"143","IDCJAC0002","040214",1898,"November",30.1,"Y"
"144","IDCJAC0002","040214",1898,"December",28.7,"Y"
"145","IDCJAC0002","040214",1899,"January",30.9,"Y"
"146","IDCJAC0002","040214",1899,"February",27.8,"Y"
"147","IDCJAC0002","040214",1899,"March",28.3,"Y"
"148","IDCJAC0002","040214",1899,"April",25.8,"Y"
"149","IDCJAC0002","040214",1899,"May",23,"Y"
"150","IDCJAC0002","040214",1899,"June",20,"Y"
"151","IDCJAC0002","040214",1899,"July",18.8,"Y"
"152","IDCJAC0002","040214",1899,"August",20.3,"Y"
"153","IDCJAC0002","040214",1899,"September",22.9,"Y"
"154","IDCJAC0002","040214",1899,"October",25,"Y"
"155","IDCJAC0002","040214",1899,"November",29.4,"Y"
"156","IDCJAC0002","040214",1899,"December",29.2,"Y"
"157","IDCJAC0002","040214",1900,"January",28.1,"Y"
"158","IDCJAC0002","040214",1900,"February",30.1,"Y"
"159","IDCJAC0002","040214",1900,"March",28.8,"Y"
"160","IDCJAC0002","040214",1900,"April",26.5,"Y"
"161","IDCJAC0002","040214",1900,"May",22.4,"Y"
"162","IDCJAC0002","040214",1900,"June",20.8,"Y"
"163","IDCJAC0002","040214",1900,"July",19.2,"Y"
"164","IDCJAC0002","040214",1900,"August",22.9,"Y"
"165","IDCJAC0002","040214",1900,"September",24.1,"Y"
"166","IDCJAC0002","040214",1900,"October",28.5,"Y"
"167","IDCJAC0002","040214",1900,"November",28.9,"Y"
"168","IDCJAC0002","040214",1900,"December",30.6,"Y"
"169","IDCJAC0002","040214",1901,"January",31.2,"Y"
"170","IDCJAC0002","040214",1901,"February",28.7,"Y"
"171","IDCJAC0002","040214",1901,"March",28,"Y"
"172","IDCJAC0002","040214",1901,"April",25.2,"Y"
"173","IDCJAC0002","040214",1901,"May",22.7,"Y"
"174","IDCJAC0002","040214",1901,"June",19.3,"Y"
"175","IDCJAC0002","040214",1901,"July",18.7,"Y"
"176","IDCJAC0002","040214",1901,"August",21.2,"Y"
"177","IDCJAC0002","040214",1901,"September",25,"Y"
"178","IDCJAC0002","040214",1901,"October",26,"Y"
"179","IDCJAC0002","040214",1901,"November",27.4,"Y"
"180","IDCJAC0002","040214",1901,"December",30.4,"Y"
"181","IDCJAC0002","040214",1902,"January",31.6,"Y"
"182","IDCJAC0002","040214",1902,"February",30.5,"Y"
"183","IDCJAC0002","040214",1902,"March",29,"Y"
"184","IDCJAC0002","040214",1902,"April",26.9,"Y"
"185","IDCJAC0002","040214",1902,"May",24.4,"Y"
"186","IDCJAC0002","040214",1902,"June",23,"Y"
"187","IDCJAC0002","040214",1902,"July",21.7,"Y"
"188","IDCJAC0002","040214",1902,"August",22,"Y"
"189","IDCJAC0002","040214",1902,"September",25.3,"Y"
"190","IDCJAC0002","040214",1902,"October",27.3,"Y"
"191","IDCJAC0002","040214",1902,"November",28.6,"Y"
"192","IDCJAC0002","040214",1902,"December",31.5,"Y"
"193","IDCJAC0002","040214",1903,"January",32.3,"Y"
"194","IDCJAC0002","040214",1903,"February",30.9,"Y"
"195","IDCJAC0002","040214",1903,"March",28.6,"Y"
"196","IDCJAC0002","040214",1903,"April",27.1,"Y"
"197","IDCJAC0002","040214",1903,"May",22.3,"Y"
"198","IDCJAC0002","040214",1903,"June",20.8,"Y"
